generation,individual,population_size,generations,max_depth,keep_pct,crossover_pct,random_pct,match_weight_factor,mutation_rate,prune_rate,duplicate_mutate_rate,fitness,matches,elapsed_time_seconds,expression
3,4,1500,4000,8,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-41.0,2,390.8291320800781,(n - (sin(n) / sin(neg(n))))
3,9,1500,4000,8,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-39.0,2,426.69743156433105,(n + (sin(n) ** sin((pi * n))))
3,12,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-39.0,2,144.4837188720703,((n - phi) + (phi * phi))
3,11,1500,4000,8,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-39.0,2,407.11000418663025,((sin(n) ** sin((n * pi))) + n)
3,5,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-40.0,2,1040.6875157356262,(n - cos((n - (n - pi))))
3,1,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-41.0,2,1075.4064791202545,((cos(neg(n)) / cos(n)) + n)
3,6,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.06410900162404942,-39.0,2,1078.3058578968048,(n + (n / (neg(n) + (n + n))))
3,14,1500,4000,8,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-39.0,2,365.4999885559082,(n + (sin(n) ** sin((pi * n))))
3,17,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-39.0,2,176.39860248565674,((atan(n) ** sin((n * pi))) + n)
3,8,2000,10000,15,0.5016262527234753,0.010572730375885856,0.4878010169006389,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-38.0,2,1343.501037120819,(n + (n / ((n * sin(n)) / sin(n))))
3,19,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-39.0,2,183.00783848762512,((sin(n) ** sin((pi * n))) + n)
3,20,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-41.0,2,175.1554856300354,(n - (sin(n) / sin(neg(n))))
3,15,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-39.0,2,1111.0917963981628,(n + (sin(n) ** sin((n * pi))))
3,16,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-39.0,2,1102.0970752239227,((sin(n) ** sin((n * pi))) + n)
3,2,2000,10000,15,0.40342349416963785,0.563009430486801,0.03356707534356118,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-41.0,2,2687.101786375046,((cos(neg(n)) / cos(n)) + n)
3,10,2000,10000,15,0.40342349416963785,0.563009430486801,0.03356707534356118,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-40.0,2,2645.8216931819916,(n + cos(tan(sin((pi * n)))))
3,13,2000,10000,15,0.40342349416963785,0.563009430486801,0.03356707534356118,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-40.0,2,2731.7746663093567,((tan(n) * tan(asin(cos(n)))) + n)
3,18,2000,10000,15,0.40342349416963785,0.563009430486801,0.03356707534356118,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-42.0,2,2449.902509212494,(1 - neg(n))
4,4,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-39.0,2,206.4075357913971,(n + (atan(n) ** tan((n * pi))))
