fitness,matches,expression
-901.0,6,sinh(sqrt(((sinh(sqrt(n)) min 5) + n)))
-901.0,6,((sqrt3 / sin(sqrt(n))) * (n min 5))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,((n + cos(n)) + (n * log2(sqrt5)))
-901.0,6,cosh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,((n / tan(7)) + (n + cos(n)))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,(sqrt((n << (n min 5))) + sin(n))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"((nroot(n, catalan) + cos(sinh(n))) + n)"
-901.0,6,"((cos(sinh(n)) + n) + nroot(n, catalan))"
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,(cos(n) + (n + (n * log2(sqrt5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"(nroot(n, sqrt2) + (sqrt(cosh(n)) min 10))"
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,"(n + (nroot(n, catalan) + cos(sinh(n))))"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt(((sinh(sqrt(n)) min 5) + n)))
-901.0,6,cosh(sqrt((sinh(sqrt((n min 5))) + n)))
-901.0,6,((sqrt(sinh(n)) min 10) + (n ** ln2))
-901.0,6,"((nroot(n, catalan) + cos(cosh(n))) + n)"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"(nroot(n, catalan) + (n + cos(cosh(n))))"
-901.0,6,"(n + (nroot(n, catalan) + cos(sinh(n))))"
-901.0,6,(n + (log_{(7 / n)}(9) min 7))
-901.0,6,(n + (7 min log_{(7 / n)}(9)))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,(sin(n) + sqrt((n << (5 min n))))
-901.0,6,"((cos(cosh(n)) + nroot(n, catalan)) + n)"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,(((cos(n) + n) * log(pi)) + n)
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,"((sqrt(cosh(n)) min 10) + nroot(n, sqrt2))"
-901.0,6,(((n // (9 // n)) + n) + sqrt3)
-901.0,6,"((nroot(n, catalan) + cos(sinh(n))) + n)"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,((sqrt2 + n) + (n / (8 // n)))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,"((nroot(n, catalan) + atan(cos(n))) + n)"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,"(cos(sinh(n)) + (n + nroot(n, catalan)))"
-901.0,6,"(n + (nroot(n, catalan) + cos(cosh(n))))"
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,"(n + (nroot(n, catalan) + atan(cos(n))))"
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,((cos(n) + (n * tan(4))) + n)
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"(nroot(n, catalan) + (n + cos(cosh(n))))"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh((ln10 min sqrt(n))) + n)))
-901.0,6,"((nroot(n, catalan) + cos(cosh(n))) + n)"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"(n + (cos(cosh(n)) + nroot(n, catalan)))"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,cosh(sqrt((sinh(sqrt((n min 5))) + n)))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"((cos(sinh(n)) + n) + nroot(n, catalan))"
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,((n * log10(sinh((5 min n)))) + sqrt5)
-901.0,6,(n + ((n // sqrt(ln2)) + cos(n)))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"(n + (cos(cosh(n)) + nroot(n, catalan)))"
-901.0,6,(cos(n) + (n + (asin(catalan) * n)))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,(sqrt((n << (n min 5))) + sin(n))
-901.0,6,sinh(sqrt(((sinh(sqrt(n)) min 5) + n)))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,((n + cos(n)) + (asin(catalan) * n))
-901.0,6,(sin(n) + sqrt((n << (5 min n))))
-901.0,6,sinh(sqrt((n + (5 min sinh(sqrt(n))))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,((n * log2(sqrt5)) + (n + cos(n)))
-901.0,6,((cos(n) + n) + (n // acos(ln2)))
-901.0,6,(((n + n) min (phi ** n)) + 1)
-901.0,6,cosh(sqrt((sinh(sqrt((5 min n))) + n)))
-901.0,6,((n / sin(sqrt((n min 5)))) * sqrt3)
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt((sinh((ln10 min sqrt(n))) + n)))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,(sqrt2 ** ((sinh(sqrt2) + n) min sinh(e)))
-901.0,6,(((phi ** n) + catalan) min (n * ln10))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,"((cos(sinh(n)) + n) + nroot(n, catalan))"
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,(cos(n) + ((asin(catalan) * n) + n))
-901.0,6,"(cos(cosh(n)) + (nroot(n, catalan) + n))"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,((log((pi ** n)) + cos(n)) + n)
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,"((cos(sinh(n)) + nroot(n, catalan)) + n)"
-901.0,6,(n + ((n * log(pi)) + cos(n)))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,"(n + (cos(cosh(n)) + nroot(n, catalan)))"
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,cosh(sqrt((n + sinh(sqrt((n min 5))))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,((n * tan(4)) + (cos(n) + n))
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (n min 5))))
-901.0,6,"(nroot(n, catalan) + (n + cos(sinh(n))))"
-901.0,6,sinh(sqrt(((n min 5) + sinh(sqrt(n)))))
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,"((7 min nroot(factorial(n), log2(6))) + n)"
-901.0,6,"(n + (cos(sinh(n)) + nroot(n, catalan)))"
-901.0,6,(n + (7 min log_{(7 / n)}(9)))
-901.0,6,"(nroot(n, phi) + (10 min sqrt(sinh(n))))"
-901.0,6,sinh(sqrt((sinh(sqrt(n)) + (5 min n))))
-901.0,6,(sqrt5 + ((5 min n) * log10(sinh(n))))
-901.0,6,"((tanh(cos(n)) + n) + nroot(n, catalan))"
-901.0,6,"((nroot(n, catalan) + tanh(cos(n))) + n)"
-901.0,6,"(cos(cosh(n)) + (n + nroot(n, catalan)))"
-901.0,6,((sqrt(cosh((ln2 - n))) min 7) + n)
-901.0,6,sinh(sqrt(((sinh(sqrt(n)) min 5) + n)))
-901.0,6,sinh(sqrt(((5 min n) + sinh(sqrt(n)))))
-901.0,6,"((cos(cosh(n)) + n) + nroot(n, catalan))"
