machine | field | kills in window | mirror is a kill of the same field | mirror is a kill of any field | mirror is a twin member
29 | lower1:127 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:131 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:137 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:139 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:149 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:151 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:157 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:163 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:167 | 1 | 0/1 | 1/1 | 0/1
29 | multiples | 135 | 135/135 | 135/135 | 0/135
29 | products:2 | 113 | 23/113 | 113/113 | 0/113
29 | products:3 | 21 | 6/21 | 21/21 | 0/21
29 | products:4 | 1 | 0/1 | 1/1 | 0/1
29 | squares | 7 | 0/7 | 7/7 | 0/7
31 | higher:5 | 62 | 62/62 | 62/62 | 0/62
31 | higher:7 | 36 | 36/36 | 36/36 | 0/36
31 | higher:11 | 19 | 19/19 | 19/19 | 0/19
31 | higher:13 | 16 | 16/16 | 16/16 | 0/16
31 | higher:17 | 10 | 10/10 | 10/10 | 0/10
31 | higher:19 | 8 | 8/8 | 8/8 | 0/8
31 | higher:23 | 5 | 5/5 | 5/5 | 0/5
31 | higher:29 | 2 | 2/2 | 2/2 | 0/2
31 | higher:31 | 1 | 1/1 | 1/1 | 0/1
31 | higher1:5 | 50 | 37/50 | 50/50 | 0/50
31 | higher1:7 | 30 | 25/30 | 30/30 | 0/30
31 | higher1:11 | 18 | 16/18 | 18/18 | 0/18
31 | higher1:13 | 15 | 13/15 | 15/15 | 0/15
31 | higher1:17 | 9 | 8/9 | 9/9 | 0/9
31 | higher1:19 | 7 | 7/7 | 7/7 | 0/7
31 | higher1:23 | 4 | 4/4 | 4/4 | 0/4
31 | higher1:29 | 1 | 1/1 | 1/1 | 0/1
31 | lower:5 | 2 | 0/2 | 2/2 | 0/2
31 | lower:7 | 6 | 0/6 | 6/6 | 0/6
31 | lower:11 | 8 | 0/8 | 8/8 | 0/8
31 | lower:13 | 9 | 0/9 | 9/9 | 0/9
31 | lower:17 | 9 | 0/9 | 9/9 | 0/9
31 | lower:19 | 9 | 0/9 | 9/9 | 0/9
31 | lower:23 | 9 | 0/9 | 9/9 | 0/9
31 | lower:29 | 9 | 0/9 | 9/9 | 0/9
31 | lower:31 | 10 | 0/10 | 10/10 | 0/10
31 | lower:37 | 8 | 0/8 | 8/8 | 0/8
31 | lower:41 | 7 | 0/7 | 7/7 | 0/7
31 | lower:43 | 6 | 0/6 | 6/6 | 0/6
31 | lower:47 | 6 | 0/6 | 6/6 | 0/6
31 | lower:53 | 5 | 0/5 | 5/5 | 0/5
31 | lower:59 | 4 | 0/4 | 4/4 | 0/4
31 | lower:61 | 4 | 0/4 | 4/4 | 0/4
31 | lower:67 | 4 | 0/4 | 4/4 | 0/4
31 | lower:71 | 4 | 0/4 | 4/4 | 0/4
31 | lower:73 | 4 | 0/4 | 4/4 | 0/4
31 | lower:79 | 3 | 0/3 | 3/3 | 0/3
31 | lower:83 | 3 | 0/3 | 3/3 | 0/3
31 | lower:89 | 2 | 0/2 | 2/2 | 0/2
31 | lower:97 | 2 | 0/2 | 2/2 | 0/2
31 | lower:101 | 2 | 0/2 | 2/2 | 0/2
31 | lower:103 | 2 | 0/2 | 2/2 | 0/2
31 | lower:107 | 2 | 0/2 | 2/2 | 0/2
31 | lower:109 | 2 | 0/2 | 2/2 | 0/2
31 | lower:113 | 2 | 0/2 | 2/2 | 0/2
31 | lower:127 | 2 | 0/2 | 2/2 | 0/2
31 | lower:131 | 2 | 0/2 | 2/2 | 0/2
31 | lower:137 | 2 | 0/2 | 2/2 | 0/2
31 | lower:139 | 1 | 0/1 | 1/1 | 0/1
31 | lower:149 | 1 | 0/1 | 1/1 | 0/1
31 | lower:151 | 1 | 0/1 | 1/1 | 0/1
31 | lower:157 | 1 | 0/1 | 1/1 | 0/1
31 | lower:163 | 1 | 0/1 | 1/1 | 0/1
31 | lower:167 | 1 | 0/1 | 1/1 | 0/1
31 | lower:173 | 1 | 0/1 | 1/1 | 0/1
31 | lower:179 | 1 | 0/1 | 1/1 | 0/1
31 | lower:181 | 1 | 0/1 | 1/1 | 0/1
31 | lower:191 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:7 | 3 | 0/3 | 3/3 | 0/3
31 | lower1:11 | 5 | 0/5 | 5/5 | 0/5
31 | lower1:13 | 7 | 0/7 | 7/7 | 0/7
