Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
1559	1567	19	261	409247	408987	4167	95799	974	17628	139	17628	139	1	78171	0.9397	0.7288	0.1958	58.7645	293	30360	266	9.9559	227	7.2881	59	611	28	0.1258	0.5870	22.6145	9.8394	0.8666	0.5713	65.7611	293	29335	0.9225	0.3358
1567	1571	19	262	411339	411078	2091	96292	492	17704	76	17704	76	1	78588	0.9401	0.7899	0.1956	57.6451	293	30524	266	10.7168	113	-3.0845	71	287	5	0.1259	0.6598	22.7133	9.8433	0.8728	0.5455	64.6416	293	29499	0.9297	0.3444
1571	1579	19	263	415539	415277	4199	97276	984	17850	146	17850	146	1	79426	0.9395	0.7597	0.1953	57.3857	223	35191	373	11.9427	227	-7.2439	41	743	29	0.1263	0.5334	22.9031	9.8522	0.8741	0.5442	63.5188	293	29810	0.9276	0.3425
1579	1583	19	264	417647	417384	2107	97769	493	17922	72	17922	72	1	79847	0.9397	0.7487	0.1951	-59.4684	79	52751	1276	-11.6723	1361	-4.9189	37	387	16	0.1260	0.7255	22.8160	9.8560	0.8704	0.5608	64.3857	293	29976	0.9295	0.3437
1583	1597	19	265	425067	424803	7419	99508	1738	18182	260	18182	260	1	81326	0.9379	0.7679	0.1948	-61.1899	79	53688	1298	12.1304	23	7.0825	97	869	25	0.1264	0.4317	22.9716	9.8723	0.8730	0.5614	65.5290	293	30541	0.9365	0.3438
1597	1601	19	267	427199	426933	2131	100010	501	18262	80	18262	80	1	81748	0.9385	0.8207	0.1946	-59.7468	79	53947	1306	-11.9655	1361	4.2542	59	317	15	0.1264	0.6398	23.0739	9.8761	0.8710	0.5403	64.7121	257	32933	0.9322	0.3527
1601	1607	19	268	430407	430140	3207	100760	749	18384	122	18384	122	1	82376	0.9389	0.8382	0.1943	-61.0000	79	54352	1315	-12.0676	1361	5.7586	29	685	53	0.1261	0.5306	22.2318	9.8823	0.8694	0.5418	63.7304	293	30951	0.9331	0.3514
1607	1609	19	269	431479	431211	1071	101008	249	18426	43	18426	43	1	82582	0.9399	0.8897	0.1941	-63.3165	79	54483	1316	13.6957	23	4.3226	31	212	18	0.1260	0.7406	22.9322	9.8835	0.8702	0.5087	64.0350	257	33277	0.9328	0.3470
1609	1613	19	269	433627	433359	2147	101513	505	18501	75	18501	75	1	83012	0.9402	0.7661	0.1939	-62.9241	79	54744	1323	12.7826	23	5.1379	29	462	37	0.1265	0.6783	23.3397	9.8873	0.8698	0.5228	64.5418	251	33817	0.9324	0.3624
1613	1619	19	270	436859	436590	3231	102265	752	18625	124	18625	124	1	83640	0.9407	0.8517	0.1936	-64.3797	79	55157	1332	11.4433	97	-5.5172	29	689	42	0.1269	0.5026	23.9702	9.8934	0.8740	0.5146	64.7488	211	36846	0.9307	0.3471
1619	1621	19	271	437939	437669	1079	102522	257	18657	33	18657	33	1	83865	0.9411	0.6640	0.1934	-62.9241	79	55297	1337	13.0435	23	3.7199	457	64	4	0.1274	0.9272	23.8605	9.8947	0.8758	0.5166	63.9052	211	36935	0.9307	0.3763
1621	1627	19	271	441187	440917	3247	103282	760	18779	122	18779	122	1	84503	0.9414	0.8312	0.1931	-61.4557	79	55713	1349	13.0264	227	-7.0870	23	760	59	0.1273	0.5532	23.4386	9.9008	0.8752	0.5554	66.5139	251	34448	0.9339	0.3450
1627	1637	19	272	446627	446356	5439	104561	1279	18984	205	18984	205	1	85577	0.9412	0.8309	0.1929	-65.7468	79	56396	1362	12.3628	113	8.5205	73	711	28	0.1276	0.4563	24.7902	9.9119	0.8828	0.5363	66.9602	251	34894	0.9255	0.3371
1637	1657	19	274	457607	457334	10979	107130	2568	19381	397	19381	397	1	87749	0.9390	0.8024	0.1927	-67.8101	79	57781	1395	-12.4284	1361	-8.3043	23	2568	215	0.1271	0.3610	24.4458	9.9350	0.8835	0.5525	65.7171	251	35803	0.9386	0.3357
1657	1663	19	277	460927	460651	3319	107911	780	19501	120	19501	120	1	88410	0.9391	0.7995	0.1924	-71.2911	79	58195	1402	-12.5760	1361	-5.8276	29	708	43	0.1267	0.5686	24.0381	9.9410	0.8806	0.5479	-68.9114	79	58101	0.9353	0.3404
1663	1667	19	278	463147	462870	2219	108425	514	19581	80	19581	80	1	88844	0.9396	0.8098	0.1922	-70.4051	79	58476	1410	14.4328	67	-4.8293	41	386	14	0.1265	0.6798	24.7473	9.9446	0.8843	0.5506	-68.0253	79	58382	0.9345	0.3366
1667	1669	19	279	464259	463981	1111	108687	262	19615	35	19615	35	1	89072	0.9401	0.6959	0.1920	-68.1772	79	58625	1416	-12.7164	1361	3.5493	71	158	8	0.1266	0.9280	25.6234	9.9458	0.8831	0.5378	66.3426	251	36352	0.9352	0.3366
1669	1693	19	279	477707	477429	13447	111833	3146	20099	484	20099	484	1	91734	0.9374	0.8024	0.1917	-64.8101	79	60309	1462	-11.3395	1361	14.7458	59	1984	82	0.1265	0.3371	26.0000	9.9731	0.8783	0.5582	64.7291	251	37433	0.9310	0.3335
1693	1697	19	283	479967	479685	2259	112365	532	20168	69	20168	69	1	92197	0.9372	0.6773	0.1915	-64.0000	79	60593	1470	13.8209	67	3.2677	127	237	7	0.1270	0.7850	23.1714	9.9767	0.8779	0.5472	65.3268	257	37223	0.9262	0.3601
1697	1699	19	284	481099	480816	1131	112625	261	20202	35	20202	35	1	92423	0.9377	0.7011	0.1913	-63.3671	79	60726	1474	12.0597	67	2.5957	47	174	10	0.1272	0.8909	23.8091	9.9778	0.8787	0.5104	64.7276	257	37300	0.9269	0.3498
1699	1709	19	284	486779	486496	5679	113956	1330	20388	186	20388	186	1	93568	0.9364	0.7320	0.1911	-62.4937	79	61442	1493	11.2137	131	7.9535	43	947	52	0.1279	0.5310	24.0283	9.9884	0.8807	0.5634	66.0856	257	37768	0.9332	0.3442
1709	1721	19	286	493639	493354	6859	115561	1605	20627	239	20627	239	1	94934	0.9353	0.7803	0.1908	-65.0886	79	62295	1512	11.7099	131	6.8780	41	1212	66	0.1280	0.4850	24.2813	10.0012	0.8805	0.5976	67.4833	509	26854	0.9333	0.3393
