Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
997	853	8408	117	9	-0.9226	-10.7140	211	3	2	0.2216	1.5053	4595	0	0.9988	0.9519	0	nan	19	2.6279	2186	3.8746	0.9272
997	857	8399	117	7	-0.3722	-12.6009	209	3	2	0.2345	1.5123	4595	0	0.9965	0.9603	0	nan	18	2.7736	2134	2.0198	0.7453
997	859	8392	116	12	-1.0990	-7.5390	207	1	0	-1.7590	-0.4820	4595	0	0.9604	0.3100	0	nan	17	2.7356	2100	7.1106	0.9988
997	863	8380	117	16	0.4438	-3.4206	207	1	0	-1.7462	-0.4797	4595	0	0.6392	0.2935	0	nan	18	2.6651	2038	11.2769	0.9988
997	877	8364	116	10	1.3044	-9.0741	207	2	0	-0.7024	-0.4721	4595	0	0.9920	0.3002	0	nan	17	2.6248	1865	5.7469	0.9966
997	881	8354	114	7	-0.1748	-11.9648	207	2	1	-0.6901	0.5301	4595	0	0.9989	0.7659	0	nan	17	2.6352	1798	2.9183	0.8364
997	883	8347	113	8	-0.9162	-10.9060	206	1	0	-1.6840	-0.4666	4595	0	0.9943	0.3039	0	nan	20	2.6389	1766	4.0000	0.9796
997	887	8339	113	9	-0.4025	-9.8027	206	3	1	0.3281	0.5355	4595	0	0.9910	0.7731	0	nan	16	2.6733	1702	5.1623	0.9966
997	907	8330	108	6	-2.9019	-12.3682	205	2	1	-0.6130	0.5480	4595	0	0.9989	0.7748	0	nan	17	2.5643	1448	2.8071	0.9305
997	911	8324	111	6	0.5851	-12.2744	204	3	1	0.3985	0.5521	4595	0	0.9989	0.7791	0	nan	16	2.5513	1383	2.9638	0.9341
997	919	8318	108	3	-1.4538	-15.1023	203	2	1	-0.5789	0.5582	4595	0	0.9989	0.7821	0	nan	16	2.6312	1269	0.2383	0.1155
997	929	8315	108	5	-0.2756	-12.9010	202	1	0	-1.5511	-0.4349	4595	0	0.9989	0.3114	0	nan	16	2.5016	1147	2.5307	0.9472
997	937	8310	106	6	-1.3511	-11.7375	202	2	0	-0.5293	-0.4312	4595	0	0.9989	0.3205	0	nan	15	2.5362	1030	3.8015	0.9925
997	941	8304	108	7	1.1052	-10.6493	202	4	2	1.4814	1.5707	4595	0	0.9947	0.9606	0	nan	18	2.6343	971	4.9362	0.9947
997	947	8297	107	3	0.7825	-14.5227	200	2	0	-0.5026	-0.4224	4595	0	0.9989	0.3224	0	nan	17	2.5442	878	1.1457	0.6934
997	953	8294	104	3	-1.5488	-14.4061	200	1	1	-1.4869	0.5803	4595	0	0.9989	0.7931	0	nan	15	2.4714	807	1.3064	0.6649
997	967	8291	106	4	1.9793	-13.1479	199	3	2	0.5491	1.5884	4595	0	0.9990	0.9710	0	nan	16	2.5395	603	2.7528	0.9824
997	971	8287	102	3	-1.5922	-14.0690	197	1	1	-1.4408	0.5942	4595	0	0.9990	0.8000	0	nan	17	2.6035	551	1.8651	0.9433
997	977	8284	105	2	2.0440	-14.9580	196	3	1	0.5742	0.5988	4595	0	0.9990	0.8043	0	nan	16	2.4777	467	1.0440	0.8422
997	983	8282	103	1	0.6724	-15.8505	195	2	1	-0.4110	0.6033	4595	0	0.9990	0.8035	0	nan	18	2.5473	375	0.2370	0.1996
997	991	8281	99	1	-2.5015	-15.7124	194	4	1	1.6085	0.6085	4595	0	0.9990	0.8061	0	nan	16	2.5144	265	0.4652	0.1737
997	997	8280	102	2	1.1093	-14.6098	193	3	2	0.6229	1.6128	4595	0	0.9990	0.9689	0	nan	16	2.5295	193	1.6128	0.9689
