Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
4919	4931	23	821	4052459	4051639	19699	866536	4222	127260	536	127260	536	1	739276	0.9109	0.7874	0.1612	-183.9746	197	355681	3427	22.5352	71	18.5593	59	2904	117	0.1474	0.4850	53.1635	11.8473	0.9183	0.5558	186.1127	701	225332	0.9707	0.3310
4931	4933	23	823	4055747	4054925	3287	867238	703	127344	85	127344	85	1	739894	0.9111	0.7502	0.1612	-182.8071	197	355960	3431	20.7118	569	6.4468	47	530	29	0.1475	0.8743	53.1986	11.8477	0.9183	0.5192	186.5792	701	225519	0.9690	0.3304
4933	4937	23	823	4062327	4061505	6579	868636	1397	127531	187	127531	187	1	741105	0.9113	0.8309	0.1611	-183.4924	197	356520	3436	25.3803	71	5.2795	347	472	8	0.1474	0.6363	53.2779	11.8490	0.9193	0.5281	186.5007	701	225897	0.9695	0.3382
4937	4943	23	824	4072207	4071384	9879	870755	2118	127784	253	127784	253	1	742971	0.9113	0.7418	0.1610	-184.4467	197	357402	3444	22.6901	71	-6.9083	109	1085	13	0.1475	0.6408	52.4088	11.8510	0.9192	0.5471	186.5927	577	245631	0.9688	0.3358
4943	4951	23	825	4085399	4084575	13191	873572	2816	128135	351	128135	351	1	745437	0.9112	0.7743	0.1610	-184.8579	197	358526	3455	21.2851	677	-11.6271	59	1936	54	0.1475	0.5720	52.5609	11.8538	0.9174	0.5519	186.7574	577	246449	0.9688	0.3391
4951	4957	23	826	4095307	4094482	9907	875687	2114	128418	283	128418	283	1	747269	0.9114	0.8320	0.1609	-187.4467	197	359372	3461	21.0141	569	-6.7822	101	1100	15	0.1475	0.5593	52.6808	11.8558	0.9174	0.5354	185.9943	701	227827	0.9695	0.3385
4957	4967	23	827	4111847	4111021	16539	879234	3546	128869	451	128869	451	1	750365	0.9113	0.7908	0.1608	-187.2792	197	360833	3476	20.5583	677	9.0990	101	1914	47	0.1475	0.5083	52.8742	11.8595	0.9179	0.5474	188.2240	701	228798	0.9706	0.3381
4967	4969	23	829	4115159	4114331	3311	879931	698	128968	100	128968	100	1	750963	0.9116	0.8911	0.1608	-186.2335	197	361124	3480	19.4993	677	-6.3115	61	467	9	0.1474	0.6997	52.9156	11.8599	0.9187	0.4999	188.6705	701	228992	0.9700	0.3365
4969	4973	23	829	4121787	4120959	6627	881353	1421	129169	201	129169	201	1	752184	0.9119	0.8802	0.1607	-186.3147	197	361723	3486	22.2984	677	-8.0000	29	1421	90	0.1474	0.6062	53.0017	11.8611	0.9184	0.5201	188.5264	701	229393	0.9685	0.3359
4973	4987	23	830	4145027	4144198	23239	886324	4971	129795	626	129795	626	1	756529	0.9116	0.7839	0.1606	-184.8426	197	363745	3508	21.6130	677	9.9577	71	3090	97	0.1475	0.4481	53.2699	11.8663	0.9180	0.5582	188.7903	577	250190	0.9683	0.3362
4987	4993	23	832	4155007	4154176	9979	888464	2140	130052	257	130052	257	1	758412	0.9116	0.7479	0.1606	-184.6041	197	364608	3517	20.2910	677	8.4595	37	1860	109	0.1475	0.6433	53.3789	11.8683	0.9180	0.5327	189.6898	577	250796	0.9679	0.3349
4993	4999	23	833	4164999	4164167	9991	890605	2140	130343	291	130343	291	1	760262	0.9118	0.8471	0.1605	-185.4772	197	365482	3525	18.9660	677	8.0488	41	1762	94	0.1475	0.5541	53.5022	11.8703	0.9187	0.5350	188.4506	577	251442	0.9678	0.3359
4999	5003	23	834	4171667	4170834	6667	892032	1426	130543	200	130543	200	1	761489	0.9121	0.8741	0.1605	-186.2843	197	366054	3530	19.7504	677	6.2489	229	544	11	0.1474	0.6089	53.5874	11.8715	0.9182	0.5177	187.0260	577	251853	0.9655	0.3349
