fitness,matches,expression
-891.0,6,"((n ** (phi * log10((n min log2(nroot(c, n)))))) + n)"
-890.0,6,(n + (cosh(tanh((tan((n max euler_gamma)) % phi))) ** n))
-890.0,6,((sqrt((phi + n)) ** sqrt((phi + n))) min ((phi + n) + n))
-890.0,6,((cosh(log2((sqrt(n) ** sqrt(n)))) + n) min ((n + phi) ** sqrt(phi)))
-890.0,6,(((tanh(cos((n % (c | c)))) + n) * cosh(atan(euler_gamma))) + n)
-890.0,6,((n + (n + (pi min sin(log(sqrt(n)))))) + ((n ^ n) + cos(n)))
-890.0,6,((cosh(((n ** catalan) * euler_gamma)) + n) min ((ceil(catalan) + n) + n))
-889.0,6,(n + (cosh(cosh((n / pi))) % (cosh(pi) - pi)))
-888.0,6,((n + (cos((n << n)) * cos((((n | n) | n) << n)))) + (n + cos(n)))
-888.0,6,"(cosh(log2(nroot(n, ((phi - log10(n)) max cos(n))))) + n)"
-884.0,6,(((n + log_{(sqrt(boltzmann) max (((n / euler_gamma) % avogadro) ** e))}(cosh(n))) + cos(n)) + n)
-882.0,6,sinh(sqrt(((sinh(sqrt(n)) max sqrt(n)) + (log10(abs((log_{(pi ** n)}((boltzmann / (n ** n))) ** n))) // tanh(n)))))
-542.0,5,cosh(sqrt((n / atan(euler_gamma))))
-541.0,5,sinh(sqrt((n + sinh(sqrt(n)))))
-541.0,5,sinh(sqrt((sinh(sqrt(n)) + n)))
-541.0,5,cosh(sqrt((n + sinh(sqrt(n)))))
-541.0,5,cosh(sqrt((n + (catalan * n))))
-541.0,5,(cosh((n + phi)) ** acos(catalan))
-541.0,5,cosh(sqrt(((n * catalan) + n)))
-541.0,5,cosh(sqrt((n + (n * catalan))))
-540.0,5,(n + cosh((log10(pi) * n)))
-540.0,5,"(n + (nroot(n, catalan) + cos(n)))"
-540.0,5,"cosh(cosh(nroot(n, e)))"
-540.0,5,"sinh(cosh(nroot(n, e)))"
-540.0,5,(n + cosh((n * log10(pi))))
-540.0,5,(n + sqrt(cosh((n - log10(n)))))
-540.0,5,(cosh(log10((pi ** n))) + n)
-540.0,5,(n + cosh(log10((pi ** n))))
-540.0,5,((cosh(log2(n)) * log(n)) + e)
-540.0,5,(n + sqrt(cosh(log(cosh(n)))))
-540.0,5,(cosh((n * log10(pi))) + n)
-540.0,5,"(n + (cos(n) + nroot(n, catalan)))"
-540.0,5,(n + sqrt(cosh((log10(n) - n))))
-540.0,5,((asin((cos(n) + log10(n))) + n) + n)
-540.0,5,(sqrt(cosh((n - log10(n)))) + n)
-540.0,5,"((nroot(n, catalan) + n) + cos(n))"
-540.0,5,"(cos(n) + (nroot(n, catalan) + n))"
-540.0,5,"(nroot(n, catalan) + (n + cos(n)))"
-540.0,5,"(n + nroot((n + cos(n)), catalan))"
-539.0,5,(sqrt(n) + sqrt((sinh(n) + n)))
-539.0,5,(sqrt((n ** log2(n))) + sinh(sqrt(n)))
-539.0,5,((n ** (phi * log10(n))) + n)
-539.0,5,(sqrt(n) + sqrt((n + cosh(n))))
-539.0,5,(n + cosh((n / floor(e))))
